ID_PARCEL,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020
6778845,3.5,ORH,MIS,BTH
6778738,1.22,CZH,ORH,BTH
6778841,8.22,BTH,ORH,MIS
6778842,4.77,MIS,BTH,BTH
6778743,8.6,BTH,BTH,ORH
6778840,5.59,BTH,BTH,BTH
6778848,4.18,BTH,MIS,BTH
6778745,0.85,ORH,SOG,BTH
6778835,7.18,ORH,MIS,BTH
6778749,0.17,ORH,ORH,MCR
6778739,2.75,BTH,ORH,MIE
6767618,1.39,BTH,ORH,ORH
6866522,0.73,PTR,PTR,PTR
6778832,11.22,ORH,MIS,BTH
6778831,6.74,BTH,ORH,MIS
6778830,1.24,BTH,BTH,ORH
6778750,1.36,BTH,BTH,ORH
6778844,4.09,BTH,BTH,ORH
6778846,2.82,MIS,BTH,BTH
6778837,7.64,MIS,BTH,BTH
6778742,5.22,MIS,BTH,BTH
6778746,0.91,MIS,BTH,BTH
6778740,0.94,ORH,SOG,BTH
6778924,1.1,ORH,SOG,BTH
6866525,0.41,PTR,PTR,PTR
6866527,0.49,TTH,PTR,PTR
6866517,1.08,PTR,PTR,MIE
6839672,1.16,TTH,PTR,PTR
6839679,0.5,TTH,TTH,PTR
6760134,5.34,BTH,TRN,BTH
6760128,3.08,BTH,MIS,BTH
6760135,12.02,BTH,MIS,BTH
6760130,1.34,MIS,BTH,MIS
6760136,9.36,MIS,BTH,MIS
6816694,1.44,TTH,TTH,TTH
6816608,0.24,TTH,TTH,TTH
6816621,1.18,TTH,TTH,TTH
6819142,0.72,BTH,BTH,BTH
6819143,3.78,BTH,BTH,BTH
10896157,3.03,PTR,PTR,PTR
10896154,2.01,LU7,LUZ,LUZ
6808166,2.04,LU7,LUZ,LUZ
6808168,1.17,PTR,PTR,PTR
6819745,1.2,MIS,BTH,MIS
6819747,2.18,BTH,BTH,ORH
6855895,3.94,MIS,BTH,MIS
6883168,1.64,PTR,PTR,PTR
6861507,0.71,BTH,BTH,BTH
6861511,2.23,CZH,BTH,BTH
6861508,2.9,CZH,BTH,BTH
6861504,0.27,BTH,BTH,AVP
6868440,5.68,MIS,BTH,MIS
6827404,2.65,ORH,TRN,LUZ
6868460,3.71,BTH,BTH,ORH
6868458,1.18,BTH,MIS,BTH
6868452,1.68,BTH,MIS,BTH
6868457,1.77,BTH,MIS,BTH
6868454,0.49,BTH,BTH,ORH
6868464,2.12,MIS,BTH,MIS
6868462,0.9,MIS,BTH,MIS
6868456,1.09,MIS,BTH,MIS
6868463,1.56,BTH,MIS,BTH
6868447,2.04,BTH,MIS,BTH
6868446,1.22,MIS,BTH,MIS
6868448,0.7,BTH,MIS,BTH
6868453,1.04,BTH,BTH,ORH
6868450,1.06,MIS,BTH,MIS
6868449,0.85,BTH,MIS,BTH
6868445,2.48,BTH,MIS,BTH
10896153,3.16,PTR,PTR,PTR
10896155,11,LU7,LUZ,LUZ
6824585,0.67,BTH,BTH,BTH
6824488,0.53,BTH,LUZ,LUZ
6824571,0.13,LUZ,LUZ,LUZ
6824591,8.32,TRN,BTH,BTH
6824582,0.36,BTH,BTH,BTH
6824491,2.11,BTH,TRN,BTH
6824492,0.54,LUZ,LUZ,LUZ
6816701,0.58,PTR,PTR,PTR
6815817,0.66,ORH,ORH,LIP
10898693,0.39,AVP,AVP,BTH
6769480,0.95,BTH,CZH,BTH
6769476,0.64,BTH,TRN,BTH
6769479,1.47,BTH,TRN,BTH
6814783,0.85,BTH,ORH,ORH
6814775,0.82,ORH,ORH,ORP
10892673,0.99,BTH,BTH,BTH
6814778,1.12,TTH,TTH,TTH
6814790,0.75,TTH,TTH,TTH
6814786,0.92,BTH,BTH,ORH
6797539,3.27,PTR,PTR,PTR
6797540,2.44,LUZ,MLF,MLF
6797543,5.16,PTR,TRE,TRE
6797627,2.24,PTR,PTR,PTR
6797628,4.34,TTH,TTH,ORP
10895393,0.46,PTR,PTR,PTR
6798769,0.65,PTR,PTR,PTR
6774887,1.32,TTH,PTR,PTR
6774892,1.38,PTR,PTR,PTR
6846302,1.24,MIS,MIS,TRN
6846296,2.31,BDP,MIS,ORH
6846300,2.8,MIS,MIS,TRN
6775604,1.01,TTH,TTH,TTH
6815730,0.65,BTH,BTH,LIP
6815723,1.07,BTH,BTH,LIP
6815729,0.66,BTH,BTH,LIP
6815822,1.16,BTH,ORH,MIS
6815725,0.62,MIS,BTH,BTH
6815824,0.42,MIS,BTH,BTH
6815733,0.7,ORH,ORH,LIP
10915467,1.89,ORH,TRN,BTH
6815832,0.59,AVP,AVP,BTH
10898671,0.51,AVP,AVP,BTH
6815825,1.46,BTH,BTH,MIS
6815732,0.15,BTH,BTH,LIP
6768722,0.46,PTR,PTR,PTR
6775729,2.1,BTH,BTH,AVP
6865222,0.58,TTH,AVP,PTR
6803576,1.93,PTR,ORP,PTR
6803574,2.42,LU6,LUZ,ORP
6775787,1.45,BTH,MIS,BTH
6775776,2.61,BTH,BTH,MPC
6775790,1.63,TTH,TRN,FVL
6775789,0.75,TTH,TRN,FVL
10904312,0.68,TTH,TRN,FVL
6775782,4.54,FVL,ORP,LUZ
6775780,5.8,FVL,BTH,TTH
6775783,4.02,LU8,LUZ,LUZ
6775786,1.72,PTR,MIS,BTH
6775778,3.07,TTH,TRN,FVL
6756261,0.74,PTR,PTR,PTR
6756443,0.31,TTH,TTH,TTH
6756350,1.66,PTR,PTR,PTR
6756435,3.59,TTH,MLG,MLG
6756358,0.45,PTR,PTR,PTR
6756347,2.19,MIE,MIE,MIE
6756354,1.38,ORH,TTH,TTH
6756359,1.69,MIE,MIE,MIE
6756440,1.38,PTR,PTR,PTR
6768724,1.34,PTR,MIE,BTH
6768637,2.79,BTH,ORH,BTH
6861933,1.71,BTH,MIS,BTH
6861929,0.51,BTH,MIS,BTH
6861921,3.64,MIS,MIS,BTH
6861926,0.76,MIS,MIS,BTH
6861922,2.44,BTH,BTH,MIS
6861931,2.01,MIS,BTH,BTH
6861924,1.47,MIS,MIS,BTP
6861935,1.3,BTH,BTH,MIS
6861934,1.17,BTH,BTH,BTP
6818973,0.48,BTH,MIS,BTH
6814736,1.05,BTH,MIS,BTH
6874705,2.37,TTH,PTR,PTR
6874713,4.18,PTR,PTR,PTR
6874718,2.25,TTH,PTR,PTR
6775470,1.26,TTH,TTH,CPL
6829096,0.54,MIS,BTH,TRN
6861096,0.69,PTR,PTR,PTR
6861091,0.37,PTR,PTR,PTR
6861089,0.63,PTR,PTR,PTR
6860308,1.81,BTH,BTH,CZH
6860306,5.03,MIS,TRN,BTH
