system:index,ID_PARCEL,soc_0_5cm,soc_15_30cm,soc_5_15cm,.geo
00000000000000006ce5,10912486,331.7125748502994,144.4251497005988,223.68862275449098,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000006354,6785683,1012.0,294.0,709.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000063e9,6875237,518.0,185.0,300.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009b38,6878275,393.0,144.0,221.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dbec,6824845,382.0,229.0,213.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000543b,6765950,332.68,122.08,209.71999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007bd9,6852147,514.3636363636364,183.63636363636365,309.0909090909091,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000028b8,13278993,494.3478260869565,219.76086956521738,326.195652173913,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f96,13283272,697.0952380952381,253.1904761904762,446.14285714285717,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000941d,6821648,585.0,219.0,344.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003eb3,13291267,590.0,243.0,348.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e2ec,6858190,533.0,174.0,282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000477e,13299725,374.0,123.0,195.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007d40,6794413,323.3641975308642,132.90123456790124,191.77160493827162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c852,6765994,487.6455696202531,138.27848101265823,230.05063291139243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b72a,6856455,329.12499999999994,122.62499999999999,198.625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000d249,6838735,343.4761904761905,130.57142857142858,219.57142857142858,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005a30,6816253,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c418,6776170,373.85714285714283,133.0,194.88571428571427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dc70,6822456,414.90196078431364,219.5098039215686,218.25490196078428,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000007122,10897079,587.1702127659574,202.0,295.72340425531917,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014d5,10897823,666.0,167.0,290.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001245,6776319,376.5046728971963,126.37383177570094,196.91588785046727,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c7e3,6842696,455.0,149.0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c402,6776171,374.8571428571428,126.28571428571429,188.4285714285714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005447,6877350,474.08,165.84,256.4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000602a,6883990,720.0,227.0,363.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009497,10903283,403.53763440860223,118.58064516129032,197.8225806451613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e769,6877325,479.12307692307695,180.47692307692307,261.53846153846155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e1bf,6789430,403.8493150684931,137.6986301369863,190.27397260273972,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c160,6829869,723.3333333333334,237.3333333333333,501.66666666666663,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000aea5,6846296,371.5591397849462,158.53763440860214,211.44086021505373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000dfd4,6794613,469.5714285714286,202.78571428571428,259.07142857142856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000e699,6858688,468.31707317073165,159.7073170731707,234.75609756097558,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059e,6847330,379.3375,207.6375,233.06250000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000afb,6778227,337.91249999999997,113.22499999999998,178.8875,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5b,13271883,611.074074074074,199.8148148148148,321.18518518518516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a95,13280160,639.3749999999999,183.6375,302.84999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000030ac,13283931,363.86206896551727,138.0,195.01149425287355,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000088fc,6803485,325.5,123.625,177.63888888888889,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009553,10895254,390.43820224719104,171.0,205.4606741573034,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000095fe,10898736,336.7037037037037,125.69135802469135,187.49382716049382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000009ca5,6869224,388.8823529411764,124.58823529411764,179.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000a4c6,6872970,707.2345679012345,230.3950617283951,391.5308641975309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b048,6812140,348.71250000000003,131.66250000000002,191.6625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b0f7,6830095,329.0886075949367,126.05063291139241,196.22784810126578,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000b2de,6774811,376.18072289156623,124.6024096385542,217.55421686746988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000ba25,6773837,365.962962962963,166.14814814814815,216.85185185185182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000c2f9,6762648,339.0,129.0,217.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
